Device Line,Base Part,Orderable Part Number,Status,Material Type,Package | Pins,Package Qty | Carrier,RoHS,Lead Finish / Ball Material,MSL Rating / Peak Reflow,Op Temp (C),Part Marking
AM62A,AM62A74,AM62A74AUMHIAMBR,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A74A UMHIAMB 498
AM62A,AM62A74,AM62A74AUMHIAMBR.B,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A74A UMHIAMB 498
AM62A,AM62A74,AM62A74AUMHIANFR,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 74AUMHI
AM62A,AM62A74,AM62A74AUMSIAMBRQ1,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A74A UMSIAMBQ1 498
AM62A,AM62A74,AM62A74AUMSIAMBRQ1.B,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A74A UMSIAMBQ1 498
AM62A,AM62A74,AM62A74AUMSIANFRQ1,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 74AUMSI Q1
AM62A,AM62A74,AM62A74AVMHIANFR,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 74AVMHI
AM62A,AM62A74,AM62A74AVMSIANFRQ1,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 74AVMSI Q1
AM62P,AM62P34,AM62P34CSMHIAMHR,Active,Production,FCBGA (AMH) | 466,250 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,34CSMHI
AM62P,AM62P34,AM62P34CSMSIAMHRQ1,Active,Production,FCBGA (AMH) | 466,250 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,34CSMSI Q1
AM62P,AM62P52,AM62P52CSMSIAMHRQ1,Active,Production,FCBGA (AMH) | 466,250 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,52CSMSI Q1
AM62P,AM62P52,AM62P52CVMHIAMHR,Active,Production,FCBGA (AMH) | 466,250 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,52CVMHI
AM62P,AM62P54,AM62P54CVMHIAMHR,Active,Production,FCBGA (AMH) | 466,250 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,54CVMHI
AM62P,AM62P54,AM62P54CVMSIAMHRQ1,Active,Production,FCBGA (AMH) | 466,250 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,54CVMSI Q1
